===========================================================================
📊 SMC MASS BACKTEST | Margin: $1,000 | SL: 0.4%
===========================================================================
Coin            | Trades   | Win Rate   | Max DD   | Netto PnL   
FUNUSDT         | 3        |  0.00 %   |  2.16 % | $-2,164.10
MLNUSDT         | 12       |  0.00 %   | 10.04 % | $-10,037.56
GUNUSDT         | 9        | 22.22 %   |  3.83 % | $-236.08
ATHUSDT         | 8        | 37.50 %   |  2.54 % | $+151.35
BABYUSDT        | 8        | 25.00 %   |  5.03 % | $-3,050.29
FORTHUSDT       | 10       | 50.00 %   |  1.82 % | $+2,107.93
PROMPTUSDT      | 7        | 14.29 %   |  9.02 % | $-6,901.89
STOUSDT         | 11       |  0.00 %   |  8.80 % | $-8,800.61
FHEUSDT         | 2        |  0.00 %   |  3.75 % | $-3,745.41
KERNELUSDT      | 9        | 22.22 %   |  6.35 % | $-2,869.57
WCTUSDT         | 9        | 22.22 %   |  3.66 % | $-3,471.23
INITUSDT        | 4        | 25.00 %   |  1.23 % | $+98.23
AERGOUSDT       | 7        | 28.57 %   |  3.65 % | $+3,867.16
BANKUSDT        | 11       | 36.36 %   |  4.64 % | $+3,849.70
DEEPUSDT        | 5        | 20.00 %   |  5.38 % | $-3,098.17
HYPERUSDT       | 15       | 20.00 %   | 10.62 % | $-7,898.01
JSTUSDT         | 4        | 25.00 %   |  1.89 % | $-713.31
SIGNUSDT        | 6        | 16.67 %   |  3.19 % | $-3,194.10
PUNDIXUSDT      | 11       | 27.27 %   |  3.54 % | $+3,692.05
CTKUSDT         | 15       | 53.33 %   |  1.94 % | $+7,175.87
AIOTUSDT        | 3        | 100.00 %   |  0.00 % | $+11,333.65
DOLOUSDT        | 10       | 30.00 %   |  4.47 % | $+1,687.73
HAEDALUSDT      | 7        | 42.86 %   |  2.13 % | $+5,419.22
SXTUSDT         | 8        | 25.00 %   |  1.99 % | $-1,695.29
ASRUSDT         | 2        | 50.00 %   |  0.98 % | $+550.03
ALPINEUSDT      | 5        | 40.00 %   |  1.49 % | $+6,742.24
B2USDT          | 5        |  0.00 %   |  4.45 % | $-4,451.74
SYRUPUSDT       | 11       | 27.27 %   |  6.42 % | $-4,783.95
